IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.84.249,4,3,0.25,90.27,11.69
104.19.58.206,4,3,0.25,85.96,11.15
104.19.33.56,4,3,0.25,77.52,10.72
104.19.228.135,4,4,0.00,292.07,6.25
198.41.208.119,4,4,0.00,287.62,6.01
190.93.244.239,4,4,0.00,284.37,6.00
141.101.115.252,4,4,0.00,262.27,5.95
190.93.245.84,4,4,0.00,299.53,5.62
190.93.246.108,4,4,0.00,290.09,5.55
198.41.209.146,4,4,0.00,283.52,5.47
198.41.221.191,4,4,0.00,299.34,4.88
198.41.212.194,4,4,0.00,293.05,4.80
198.41.220.205,4,4,0.00,315.65,2.35
104.21.97.132,4,4,0.00,225.71,2.26
141.101.114.107,4,4,0.00,287.73,2.18
190.93.247.27,4,4,0.00,322.92,2.09
1.1.1.209,4,4,0.00,205.58,0.32
104.24.32.12,4,4,0.00,214.25,0.20
1.0.0.1,4,4,0.00,208.23,0.18
173.245.49.205,4,4,0.00,208.43,0.05
